"region","age","gender","population"
"SSC22396",13,"F",0
"SSC22396",14,"M",0
"SSC22396",14,"F",0
"SSC22396",15,"M",3
"SSC22396",15,"F",0
"SSC22396",16,"M",0
"SSC22396",16,"F",3
"SSC22396",17,"M",0
"SSC22396",17,"F",3
"SSC22396",18,"M",0
"SSC22396",18,"F",0
"SSC22396",19,"M",0
"SSC22396",19,"F",0
"SSC22396",20,"M",3
"SSC22396",20,"F",0
"SSC22396",21,"M",0
"SSC22396",21,"F",3
"SSC22396",22,"M",0
"SSC22396",22,"F",0
"SSC22396",23,"M",3
"SSC22396",23,"F",0
"SSC22396",24,"M",0
"SSC22396",24,"F",0
"SSC22396",25,"M",0
"SSC22396",25,"F",0
"SSC22396",26,"M",0
"SSC22396",26,"F",3
"SSC22396",27,"M",0
"SSC22396",27,"F",0
"SSC22396",28,"M",0
"SSC22396",28,"F",0
"SSC22396",29,"M",0
"SSC22396",29,"F",0
"SSC22396",30,"M",0
"SSC22396",30,"F",0
"SSC22396",31,"M",0
"SSC22396",31,"F",0
"SSC22396",32,"M",0
"SSC22396",32,"F",0
"SSC22396",33,"M",0
"SSC22396",33,"F",0
"SSC22396",34,"M",0
"SSC22396",34,"F",0
"SSC22396",35,"M",0
"SSC22396",35,"F",0
"SSC22396",36,"M",0
"SSC22396",36,"F",0
"SSC22396",37,"M",0
"SSC22396",37,"F",0
"SSC22396",38,"M",0
"SSC22396",38,"F",0
"SSC22396",39,"M",0
"SSC22396",39,"F",0
"SSC22396",40,"M",0
"SSC22396",40,"F",0
"SSC22396",41,"M",0
"SSC22396",41,"F",0
"SSC22396",42,"M",3
"SSC22396",42,"F",3
"SSC22396",43,"M",0
"SSC22396",43,"F",0
"SSC22396",44,"M",4
"SSC22396",44,"F",0
"SSC22396",45,"M",0
"SSC22396",45,"F",0
"SSC22396",46,"M",0
"SSC22396",46,"F",0
"SSC22396",47,"M",0
"SSC22396",47,"F",0
"SSC22396",48,"M",0
"SSC22396",48,"F",3
"SSC22396",49,"M",3
"SSC22396",49,"F",0
"SSC22396",50,"M",3
"SSC22396",50,"F",0
"SSC22396",51,"M",0
"SSC22396",51,"F",0
"SSC22396",52,"M",7
"SSC22396",52,"F",0
"SSC22396",53,"M",0
"SSC22396",53,"F",3
"SSC22396",54,"M",0
"SSC22396",54,"F",0
"SSC22396",55,"M",0
"SSC22396",55,"F",0
"SSC20837",0,"M",3
"SSC20837",0,"F",7
"SSC20837",1,"M",3
"SSC20837",1,"F",7
"SSC20837",2,"M",6
"SSC20837",2,"F",5
"SSC20837",3,"M",11
"SSC20837",3,"F",8
"SSC20837",4,"M",9
"SSC20837",4,"F",0
"SSC20837",5,"M",4
"SSC20837",5,"F",11
"SSC20837",6,"M",7
"SSC20837",6,"F",16
"SSC20837",7,"M",8
"SSC20837",7,"F",11
"SSC20837",8,"M",4
"SSC20837",8,"F",5
"SSC20837",9,"M",16
"SSC20837",9,"F",10
"SSC20837",10,"M",11
"SSC20837",10,"F",3
"SSC20837",11,"M",12
"SSC20837",11,"F",9
"SSC20837",12,"M",7
"SSC20837",12,"F",12
"SSC20837",13,"M",8
"SSC20837",13,"F",4
"SSC20837",14,"M",14
"SSC20837",14,"F",9
"SSC20837",15,"M",11
"SSC20837",15,"F",9
"SSC20837",16,"M",11
"SSC20837",16,"F",6
"SSC20837",17,"M",12
"SSC20837",17,"F",13
"SSC20837",18,"M",0
"SSC20837",18,"F",7
"SSC20837",19,"M",10
"SSC20837",19,"F",7
"SSC20837",20,"M",7
"SSC20837",20,"F",11
"SSC20837",21,"M",4
"SSC20837",21,"F",13
"SSC20837",22,"M",10
"SSC20837",22,"F",4
"SSC20837",23,"M",5
"SSC20837",23,"F",4
"SSC20837",24,"M",7
"SSC20837",24,"F",4
"SSC20837",25,"M",0
"SSC20837",25,"F",6
"SSC20837",26,"M",9
"SSC20837",26,"F",0
"SSC20837",27,"M",8
"SSC20837",27,"F",7
"SSC20837",28,"M",0
"SSC20837",28,"F",0
"SSC20837",29,"M",10
"SSC20837",29,"F",3
"SSC20837",30,"M",3
"SSC20837",30,"F",3
"SSC20837",31,"M",0
"SSC20837",31,"F",3
"SSC20837",32,"M",0
"SSC20837",32,"F",7
"SSC20837",33,"M",4
"SSC20837",33,"F",4
"SSC20837",34,"M",4
"SSC20837",34,"F",0
"SSC20837",35,"M",6
"SSC20837",35,"F",3
"SSC20837",36,"M",12
"SSC20837",36,"F",8
"SSC20837",37,"M",3
"SSC20837",37,"F",4
"SSC20837",38,"M",5
"SSC20837",38,"F",10
"SSC20837",39,"M",4
"SSC20837",39,"F",8
"SSC20837",40,"M",4
"SSC20837",40,"F",10
"SSC20837",41,"M",10
"SSC20837",41,"F",4
"SSC20837",42,"M",6
"SSC20837",42,"F",9
"SSC20837",43,"M",10
"SSC20837",43,"F",6
"SSC20837",44,"M",10
"SSC20837",44,"F",13
"SSC20837",45,"M",15
"SSC20837",45,"F",13
"SSC20837",46,"M",12
"SSC20837",46,"F",13
"SSC20837",47,"M",8
"SSC20837",47,"F",9
"SSC20837",48,"M",15
"SSC20837",48,"F",9
"SSC20837",49,"M",6
"SSC20837",49,"F",13
"SSC20837",50,"M",13
"SSC20837",50,"F",7
"SSC20837",51,"M",12
"SSC20837",51,"F",15
"SSC20837",52,"M",14
"SSC20837",52,"F",7
"SSC20837",53,"M",4
"SSC20837",53,"F",11
"SSC20837",54,"M",7
"SSC20837",54,"F",13
"SSC20837",55,"M",12
"SSC20837",55,"F",8
"SSC22373",0,"M",0
"SSC22373",0,"F",0
"SSC22373",1,"M",0
"SSC22373",1,"F",0
"SSC22373",2,"M",0
"SSC22373",2,"F",0
"SSC22373",3,"M",0
"SSC22373",3,"F",0
"SSC22373",4,"M",0
"SSC22373",4,"F",0
"SSC22373",5,"M",0
"SSC22373",5,"F",0
"SSC22373",6,"M",0
"SSC22373",6,"F",3
"SSC22373",7,"M",0
"SSC22373",7,"F",0
"SSC22373",8,"M",0
"SSC22373",8,"F",0
"SSC22373",9,"M",0
"SSC22373",9,"F",0
"SSC22373",10,"M",0
"SSC22373",10,"F",0
"SSC22373",11,"M",0
"SSC22373",11,"F",0
"SSC22373",12,"M",0
"SSC22373",12,"F",0
"SSC22373",13,"M",0
"SSC22373",13,"F",0
"SSC22373",14,"M",0
"SSC22373",14,"F",0
"SSC22373",15,"M",4
"SSC22373",15,"F",0
"SSC22373",16,"M",0
"SSC22373",16,"F",0
"SSC22373",17,"M",0
"SSC22373",17,"F",0
"SSC22373",18,"M",0
"SSC22373",18,"F",0
"SSC22373",19,"M",0
"SSC22373",19,"F",0
"SSC22373",20,"M",0
"SSC22373",20,"F",0
"SSC22373",21,"M",0
"SSC22373",21,"F",0
"SSC22373",22,"M",0
"SSC22373",22,"F",0
"SSC22373",23,"M",0
"SSC22373",23,"F",0
"SSC22373",24,"M",0
