"","Food","Calories","Protein","Fat","Glucose","Fibre"
"249","Pastry, shortcrust style, commercial, baked",2080,6.6,27.5,0,1.8
"250","Pastry, filled with spinach & cheese, purchased frozen, baked",1215,9.4,16.4,0.9,2.5
"251","Pie, savoury, meat, commercial, ready to eat",943,8.9,11.2,0,2.4
"252","Pie, savoury, meat, purchased frozen, baked",910,8.6,11.3,0,2
"253","Sausage roll, commercial, ready to eat",1179,9.7,14.3,0.2,3
"254","Sausage roll, purchased frozen, baked",1118,9.7,12.7,0.2,3
"255","Spring roll, meat & vegetable filling, commercial, deep fried",1047,7.5,11.7,3.1,2.8
"256","Pie, sweet, apple, commercial",1059,3,12.9,1.3,1.3
"257","Tart, custard, commercial",1015,6.3,10.7,0,1
"258","Dressing, French or Italian, regular fat, commercial",947,0.1,19.6,6,0
"259","Dressing, thousand island, regular fat, commercial",1495,1,31.8,3,1.4
"260","Gravy powder, dry mix",1311,8.9,6.2,0,0.1
"261","Gravy, prepared from dry powder with water",109,0.7,0.5,0,0
"262","Mustard, cream style",348,5.8,3.1,1.9,4.1
"263","Paste, Indian style curry, commercial",1279,4.4,26.4,1.6,5.4
"264","Paste, green curry, commercial",461,2.4,7.9,0.9,3
"265","Paste, soybean",766,12.9,5.1,9.2,4.3
"266","Sauce, barbecue, commercial",738,0.7,0.2,12.1,0.6
"267","Sauce, butter chicken, commercial",412,1.3,7.6,1.2,1.9
"268","Sauce, fish, commercial",213,6.8,0.3,0.4,1.2
"269","Sauce, hoi sin (hoisin), commercial",922,1.7,5.4,9.9,10.4
"270","Sauce, oyster, commercial",471,2.8,1,1.4,0.3
"271","Sauce, pasta or simmer, commercial, low fat",240,0.8,2.9,1.1,1.3
"272","Sauce, pasta, basil pesto, commercial",1598,5.3,37.1,0.8,1.5
"273","Sauce, pasta, cheese or cream-based, commercial",405,1.7,7.4,0.3,1.9
"274","Sauce, pasta, tomato-based, commercial, heated",227,1.6,1.6,2.2,2.3
"275","Sauce, plum, commercial",958,0.1,0.8,23.9,0.6
"276","Sauce, rogan josh, commercial",295,1.5,4.1,0.9,1.9
"277","Sauce, salsa, tomato-based, commercial",146,1.3,0,2.2,1.6
"278","Sauce, simmer for chicken, commercial",383,0.8,7.5,1,1.7
"279","Sauce, simmer, curry flavoured, commercial",494,2.1,6.9,2.5,2.3
"280","Sauce, soy, commercial",162,5.4,0,0.8,0
"281","Sauce, soy, commercial, reduced salt",162,5.4,0,0.8,0
"282","Sauce, tomato, commercial",437,1.3,0,4.4,1.3
"283","Sauce, tomato, commercial, reduced salt",437,1.3,0,4.4,1.3
"284","Sauce, white, savoury, homemade",756,4,13.5,0,0.2
"285","Sauce, Worcestershire, commercial",311,1.3,0.2,6.3,0
"286","Peanut butter, smooth & crunchy, added sugar & salt",2495,22.2,49.6,0,5.8
"287","Spread, yeast, marmite",623,13.3,0.9,1.3,11.8
"288","Spread, yeast, vegemite",679,24.1,0.9,0,6.5
"289","Cheese, blue vein",1571,20.3,32.4,0,0
"290","Cheese, brie",1502,18.2,31.5,0,0
"291","Cheese, camembert",1254,20.4,23.8,0,0
"292","Cheese, cheddar, natural, regular fat",1663,24.6,32.8,0.1,0
"293","Cheese, cheddar, natural, reduced fat (approximately 25%)",1368,28.6,23.4,0,0
"294","Cheese, cheddar, natural, reduced fat (approximately 15%)",1109,31.1,15.3,0,0
"295","Cheese, cheddar, processed, regular fat",1254,18.2,23.9,0,0
"296","Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D",1054,22.5,15.4,0,0
"297","Cheese, cottage",529,15.4,5.7,0,0
"298","Cheese, cream, plain",1420,8.5,34.2,0,0
"299","Cheese, edam",1510,28,27.2,0,0
"300","Cheese, fetta (feta)",1136,16.6,22.3,0,0
"301","Cheese, goat, firm",1502,18.6,31.3,0,0
"302","Cheese, goat, soft",1194,21.2,21.7,0,0
"303","Cheese, haloumi",1050,21.3,17.1,0,0
"304","Cheese, mozzarella",1213,22.2,22.1,0,0
"305","Cheese, parmesan, dried, finely grated",1949,40.6,33.3,0,0
"306","Cheese, parmesan, fresh",1690,35.1,28.8,0,0
"307","Cheese, ricotta",665,10.4,11.8,0,0
"308","Cream, thickened, regular fat (approximately 35%)",1409,2,36.1,0,0
"309","Cream, imitation (non-dairy)",1108,1,21.8,3.8,0
"310","Cream, sour, regular fat",1414,1.9,36.3,0,0
"311","Cream, sour, light (approximately 18% fat)",868,3.6,19.7,0,0
"312","Ice cream, vanilla flavour, regular fat",788,3.7,10.6,0.5,0
"313","Ice confection, stick, milk-based, various flavours",563,2.9,5.3,0.6,0.2
"314","Ice confection, stick, water-based, various flavours",280,0.2,0,1.2,0
"315","Ice confection, stick or tub, fruit juice or fruit flavoured",306,0.2,0.1,2.6,0
"316","Milk, cow, fluid, regular fat (3.5% fat)",281,3.4,3.4,0,0
"317","Milk, cow, fluid, regular fat (3.5% fat), added omega 3 polyunsaturates",253,3.1,3.2,0,0
"318","Milk, cow, fluid, reduced fat (1% fat)",191,3.6,1.2,0,0
"319","Milk, cow, fluid, reduced fat (1.5% fat), added omega 3 polyunsaturates",213,4.5,1.4,0,0
"320","Milk, cow, fluid, skim (0.15% fat)",146,3.6,0,0,0
"321","Milk, cow, fluid, skim (0.15% fat), added milk solids",173,4.2,0,0,0
"322","Milk, cow, fluid, lactose free, regular fat (3.5% fat)",249,3.1,3.2,2.3,0
"323","Milk, cow, fluid, lactose free, reduced fat (1% fat)",184,3.4,1.2,2.3,0.1
"324","Milk, cow, canned, evaporated, regular",591,7.7,8.2,0,0
"325","Milk, cow, canned, evaporated, reduced fat (approximately 2% fat)",381,7.9,2.1,0,0
"326","Milk, cow, canned, sweetened, condensed, regular",1362,8.3,9.2,0.3,0
"327","Milk, powder, cow, regular fat, unfortified",2127,25.3,27.3,0,0
"328","Milk, powder, cow, regular fat, added vitamins A & D",2127,25.3,27.3,0,0
"329","Milk, powder, cow, skim",1519,34.9,0.8,0,0
"330","Custard, vanilla, regular fat",392,3.3,3,0,0
"331","Dairy or yoghurt dessert, chocolate, regular fat",533,5.1,3.7,0,1.4
"332","Yoghurt, natural, regular fat (3% fat)",306,5.1,3.2,0,0.1
"333","Yoghurt, apricot pieces or flavoured, regular fat (3% fat)",386,4.2,3.2,0.7,0.1
"334","Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",401,4.7,3.1,0.7,0.1
"335","Yoghurt, vanilla flavoured, (2% fat)",409,5,1.9,0,0.2
"336","Yoghurt, vanilla flavoured, low fat (less than 0.5% fat)",367,5.8,0.5,1.8,0.2
"337","Oat beverage, fluid, unfortified",224,1.3,0.8,1.5,0.3
"338","Oat beverage, fluid, added calcium",224,1.3,0.8,1.5,0.3
"339","Rice beverage, fluid, added calcium",255,0.3,1,0.5,0
"340","Soy beverage, regular fat (3% fat), unfortified",246,3.7,2.7,0.1,0.6
"341","Soy beverage, regular fat (3% fat), added Ca",246,3.7,2.7,0.1,0.6
"342","Soy beverage, regular fat (3% fat), added Ca & vitamins A, B1, B2 & B12",251,4.1,2.7,0.1,0.6
"343","Soy beverage, reduced fat (1% fat), added Ca & vitamins A, B1, B2 & B12",187,3,0.9,0,0.6
"344","Sausage, vegetarian style, unfortified, raw",807,19,9.4,0.3,1.5
"345","Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",807,19,9.4,0.3,1.5
"346","Sausage, vegetarian style, fried, no added fat",849,20,9.9,0.3,1.6
"347","Tofu (soy bean curd), firm, as purchased",502,12,7.3,0,3.5
"348","Yoghurt, soy based, berry flavoured, regular fat (3% fat)",416,3.7,3.7,1.6,0.2
"349","Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",309,3.7,0.8,1.6,0.2
"350","Butter, plain, salted",3027,1.1,81.3,0,0
"351","Butter, plain, no added salt",3027,1.1,81.3,0,0
"352","Ghee, clarified butter",3701,0.3,99.9,0,0
"353","Dairy blend, butter & edible oil spread (approximately 80% fat), sodium 600 mg/100 g",2915,0.5,78.1,0,0
"354","Dairy blend, butter & edible oil spread (approximately 80% fat), reduced salt (sodium 400 mg/100 g)",2915,0.5,78.1,0,0
"355","Margarine spread, polyunsaturated (70% fat)",2552,0,69,0,0
